Pedido;SKU;DataSolicitacao;DataExpedicao;Qtd;Status;Transportadora;Episodio;Destino
21795;EPI0219;18/07/2023;20/07/2023;13;Faturado;VelozLog;Embalagem com Lacre;Curitiba-043
21796;EPI0173;24/07/2023;25/07/2023;53;Faturado;TransBrasil;Devolução por Avaria;São Paulo-014
21797;EPI0230;29/03/2023;01/04/2023;21;Faturado;TransBrasil;Etiqueta Faltando;São Paulo-033
21798;EPI0475;09/04/2024;11/04/2024;9;Faturado;TransBrasil;Produto Vencido;Rio-059
21799;EPI0324;01/08/2023;04/08/2023;9;Faturado;CargasRápidas;Endereçamento Manual;Rio-089
21800;EPI0005;14/07/2023;14/07/2023;19;Faturado;CargasRápidas;Separação Manual;Brasília-094
21801;EPI0249;22/01/2025;22/01/2025;17;Faturado;LogiExpress;Endereçamento Automático;Brasília-051
21802;EPI0068;07/10/2023;09/10/2023;46;Faturado;VelozLog;Embalagem com Lacre;Brasília-021
21803;EPI0294;15/02/2025;17/02/2025;4;Faturado;LogiExpress;Divergência de Quantidade;Curitiba-052
21804;EPI0237;22/12/2023;23/12/2023;78;Faturado;CargasRápidas;Falta de Estoque;Brasília-007
21805;EPI0405;03/04/2023;06/04/2023;38;Faturado;LogiExpress;Inventário Cíclico;Brasília-020
21806;EPI0164;23/02/2025;26/02/2025;60;Cancelado;LogiExpress;Pedido Cancelado;Brasília-081
21807;EPI0268;26/04/2023;26/04/2023;10;Faturado;LogiExpress;Pedido Urgente;Brasília-050
21808;EPI0299;25/10/2024;26/10/2024;21;Faturado;LogiExpress;Produto Substituído;BH-078
21809;EPI0035;11/06/2025;12/06/2025;15;Faturado;CargasRápidas;Devolução por Troca;São Paulo-046
21810;EPI0341;14/11/2023;16/11/2023;70;Faturado;TransBrasil;Recebimento Normal;Curitiba-044
21811;EPI0217;09/01/2023;12/01/2023;48;Faturado;TransBrasil;Recebimento Parcial;BH-060
21812;EPI0139;09/01/2025;09/01/2025;30;Faturado;CargasRápidas;Entrada em Quarentena;São Paulo-023
21813;EPI0044;18/05/2024;20/05/2024;22;Aguardando;CargasRápidas;Pedido Parcial;BH-060
21814;EPI0096;28/10/2023;31/10/2023;9;Aguardando;CargasRápidas;Recebimento Parcial;Curitiba-089
21815;EPI0208;13/02/2024;14/02/2024;38;Faturado;TransBrasil;Recebimento Normal;Brasília-087
21816;EPI0491;04/06/2024;05/06/2024;10;Faturado;LogiExpress;Produto Substituído;Brasília-084
21817;EPI0251;14/01/2023;14/01/2023;31;Faturado;VelozLog;Pedido Parcial;Brasília-003
21818;EPI0050;03/02/2024;03/02/2024;30;Faturado;TransBrasil;Devolução por Troca;Brasília-074
21819;EPI0474;02/07/2024;05/07/2024;73;Faturado;TransBrasil;Devolução por Troca;São Paulo-050
21820;EPI0322;25/01/2023;25/01/2023;22;Parcial;CargasRápidas;Etiqueta Faltando;Rio-006
21821;EPI0427;23/09/2024;26/09/2024;14;Cancelado;CargasRápidas;Recebimento Parcial;Brasília-064
21822;EPI0285;18/03/2025;19/03/2025;33;Faturado;VelozLog;Endereçamento Automático;Curitiba-093
21823;EPI0484;01/09/2023;04/09/2023;49;Faturado;CargasRápidas;Pedido Cancelado;BH-011
21824;EPI0203;27/10/2023;27/10/2023;55;Faturado;LogiExpress;Devolução por Troca;São Paulo-070
21825;EPI0140;19/09/2023;20/09/2023;77;Faturado;TransBrasil;Endereçamento Manual;Brasília-036
21826;EPI0041;24/02/2025;26/02/2025;17;Faturado;LogiExpress;Recebimento Normal;São Paulo-086
21827;EPI0498;07/05/2023;08/05/2023;14;Faturado;LogiExpress;Pedido Parcial;Curitiba-045
21828;EPI0384;13/09/2023;13/09/2023;29;Faturado;CargasRápidas;Recebimento Normal;BH-045
21829;EPI0358;07/04/2024;09/04/2024;16;Faturado;VelozLog;Recebimento Normal;Rio-083
21830;EPI0282;12/11/2024;15/11/2024;45;Aguardando;LogiExpress;Recebimento Parcial;Brasília-015
21831;EPI0438;06/05/2023;07/05/2023;34;Faturado;VelozLog;Produto Substituído;São Paulo-069
21832;EPI0172;01/03/2025;03/03/2025;25;Aguardando;LogiExpress;Produto Próximo ao Vencimento;Brasília-041
21833;EPI0292;02/03/2025;02/03/2025;36;Aguardando;LogiExpress;Pedido Urgente;Brasília-067
21834;EPI0401;02/07/2025;05/07/2025;42;Faturado;VelozLog;Entrada em Quarentena;Curitiba-028
21835;EPI0450;18/01/2025;20/01/2025;13;Faturado;TransBrasil;Inventário com Divergência;Brasília-055
21836;EPI0305;04/03/2023;06/03/2023;15;Faturado;CargasRápidas;Divergência de Quantidade;São Paulo-057
21837;EPI0253;19/06/2023;19/06/2023;29;Faturado;VelozLog;Entrada em Quarentena;Rio-073
21838;EPI0278;05/04/2025;06/04/2025;24;Faturado;CargasRápidas;Recebimento com Avaria;Curitiba-063
21839;EPI0019;28/04/2024;28/04/2024;46;Faturado;LogiExpress;Pedido Urgente;Brasília-014
21840;EPI0063;05/06/2024;05/06/2024;35;Faturado;TransBrasil;Pedido Urgente;Curitiba-025
21841;EPI0095;22/11/2024;22/11/2024;47;Faturado;LogiExpress;Recebimento Normal;Brasília-041
21842;EPI0371;31/08/2023;01/09/2023;41;Faturado;LogiExpress;Divergência de Quantidade;BH-087
21843;EPI0050;07/08/2023;09/08/2023;10;Aguardando;TransBrasil;Divergência de Quantidade;BH-057
21844;EPI0243;05/10/2023;08/10/2023;31;Faturado;VelozLog;Pedido Cancelado;Brasília-052
21845;EPI0370;11/05/2024;13/05/2024;25;Faturado;VelozLog;Recebimento Normal;BH-041
21846;EPI0282;22/07/2023;25/07/2023;25;Faturado;VelozLog;Entrada em Quarentena;Curitiba-087
21847;EPI0196;09/07/2025;09/07/2025;30;Faturado;VelozLog;Pedido Urgente;Brasília-056
21848;EPI0055;28/06/2025;29/06/2025;61;Aguardando;LogiExpress;Recebimento Parcial;BH-077
21849;EPI0401;06/06/2023;09/06/2023;25;Faturado;LogiExpress;Separação com Erro de SKU;Curitiba-026
21850;EPI0078;10/01/2023;10/01/2023;33;Faturado;LogiExpress;Endereçamento Automático;Brasília-099
21851;EPI0418;30/06/2024;02/07/2024;44;Parcial;LogiExpress;Embalagem com Lacre;BH-044
21852;EPI0123;20/04/2024;22/04/2024;44;Faturado;TransBrasil;Embalagem com Etiqueta de Transporte;São Paulo-051
21853;EPI0085;22/05/2023;23/05/2023;41;Parcial;TransBrasil;Falta de Estoque;Rio-024
21854;EPI0327;29/05/2025;01/06/2025;26;Aguardando;CargasRápidas;Separação com Erro de SKU;São Paulo-025
21855;EPI0376;13/06/2023;13/06/2023;39;Parcial;LogiExpress;Devolução por Troca;Curitiba-021
21856;EPI0475;28/12/2023;30/12/2023;25;Faturado;CargasRápidas;Recebimento Normal;Rio-075
21857;EPI0281;19/02/2024;19/02/2024;32;Aguardando;CargasRápidas;Produto Próximo ao Vencimento;Rio-058
21858;EPI0115;06/04/2023;06/04/2023;32;Faturado;TransBrasil;Divergência de Validade;Rio-093
21859;EPI0410;30/05/2023;30/05/2023;44;Faturado;TransBrasil;Devolução por Desistência;Rio-060
21860;EPI0149;25/03/2024;26/03/2024;54;Aguardando;VelozLog;Endereçamento Automático;Rio-062
21861;EPI0490;05/01/2023;06/01/2023;22;Faturado;LogiExpress;Separação com Erro de SKU;Rio-017
21862;EPI0330;01/05/2025;01/05/2025;30;Faturado;VelozLog;Pedido Urgente;Curitiba-004
21863;EPI0426;15/12/2024;18/12/2024;37;Faturado;VelozLog;Divergência de Validade;Curitiba-084
21864;EPI0217;22/01/2025;23/01/2025;68;Aguardando;TransBrasil;Inventário Cíclico;Curitiba-062
21865;EPI0403;18/07/2023;18/07/2023;39;Faturado;LogiExpress;Devolução por Troca;Brasília-024
21866;EPI0111;17/01/2025;19/01/2025;21;Parcial;LogiExpress;Recebimento Parcial;Rio-072
21867;EPI0022;24/07/2025;25/07/2025;28;Cancelado;TransBrasil;Devolução por Desistência;Brasília-022
21868;EPI0454;26/05/2025;26/05/2025;17;Faturado;LogiExpress;Divergência de Validade;BH-032
21869;EPI0099;26/03/2025;26/03/2025;32;Faturado;LogiExpress;Endereçamento Manual;BH-073
21870;EPI0363;01/03/2024;01/03/2024;31;Faturado;CargasRápidas;Entrada em Quarentena;Rio-037
21871;EPI0277;13/10/2023;15/10/2023;22;Faturado;VelozLog;Recebimento Normal;São Paulo-031
21872;EPI0452;20/02/2024;21/02/2024;29;Aguardando;VelozLog;Separação com Erro de SKU;BH-038
21873;EPI0385;07/03/2024;07/03/2024;58;Faturado;VelozLog;Recebimento Parcial;Curitiba-039
21874;EPI0080;12/12/2024;12/12/2024;29;Faturado;VelozLog;Separação Manual;BH-048
21875;EPI0235;04/02/2025;07/02/2025;84;Faturado;TransBrasil;Embalagem com Lacre;Curitiba-029
21876;EPI0094;26/11/2023;29/11/2023;37;Faturado;TransBrasil;Produto Substituído;Rio-036
21877;EPI0389;02/07/2024;05/07/2024;47;Faturado;TransBrasil;Produto Vencido;São Paulo-064
21878;EPI0058;27/03/2023;30/03/2023;15;Faturado;CargasRápidas;Devolução por Troca;BH-025
21879;EPI0091;21/12/2024;24/12/2024;22;Aguardando;CargasRápidas;Devolução por Avaria;São Paulo-092
21880;EPI0034;06/07/2024;09/07/2024;20;Faturado;LogiExpress;Embalagem com Lacre;São Paulo-036
21881;EPI0144;04/06/2025;07/06/2025;57;Faturado;CargasRápidas;Produto Substituído;São Paulo-060
21882;EPI0461;11/10/2023;14/10/2023;57;Faturado;TransBrasil;Embalagem com Lacre;Rio-020
21883;EPI0084;22/03/2023;22/03/2023;67;Faturado;VelozLog;Produto Substituído;Curitiba-072
21884;EPI0438;02/09/2023;02/09/2023;23;Aguardando;CargasRápidas;Embalagem com Lacre;BH-051
21885;EPI0425;29/12/2024;30/12/2024;30;Faturado;VelozLog;Divergência de Validade;Curitiba-099
21886;EPI0378;18/11/2024;20/11/2024;74;Parcial;CargasRápidas;Produto Vencido;Curitiba-045
21887;EPI0080;01/07/2024;03/07/2024;19;Faturado;CargasRápidas;Devolução por Troca;São Paulo-021
21888;EPI0168;19/09/2024;19/09/2024;22;Faturado;LogiExpress;Embalagem com Etiqueta de Transporte;Brasília-038
21889;EPI0380;28/02/2024;02/03/2024;27;Faturado;LogiExpress;Produto Substituído;Rio-075
21890;EPI0397;28/04/2024;29/04/2024;28;Faturado;CargasRápidas;Etiqueta Faltando;Rio-059
21891;EPI0023;15/09/2023;15/09/2023;16;Faturado;LogiExpress;Etiqueta Faltando;Rio-027
21892;EPI0097;23/10/2024;24/10/2024;63;Faturado;VelozLog;Falta de Estoque;BH-012
21893;EPI0021;18/03/2023;18/03/2023;34;Faturado;LogiExpress;Separação com Erro de SKU;Curitiba-062
21894;EPI0345;08/04/2023;08/04/2023;14;Faturado;VelozLog;Pedido Urgente;São Paulo-001
21895;EPI0046;29/05/2023;01/06/2023;28;Faturado;TransBrasil;Separação Manual;Brasília-046
21896;EPI0468;04/11/2024;04/11/2024;30;Faturado;CargasRápidas;Recebimento Parcial;BH-092
21897;EPI0449;21/04/2025;22/04/2025;46;Aguardando;LogiExpress;Recebimento Normal;São Paulo-042
21898;EPI0327;14/06/2024;15/06/2024;66;Cancelado;LogiExpress;Endereçamento Automático;Rio-023
21899;EPI0341;28/09/2024;01/10/2024;49;Faturado;CargasRápidas;Devolução por Avaria;São Paulo-016
21900;EPI0028;21/02/2024;21/02/2024;21;Faturado;LogiExpress;Devolução por Desistência;BH-013
21901;EPI0087;14/06/2025;14/06/2025;30;Faturado;CargasRápidas;Produto Próximo ao Vencimento;São Paulo-070
21902;EPI0029;13/10/2024;13/10/2024;20;Faturado;CargasRápidas;Embalagem com Lacre;Rio-096
21903;EPI0419;15/04/2024;15/04/2024;34;Faturado;LogiExpress;Separação Manual;BH-079
21904;EPI0136;23/06/2025;24/06/2025;23;Faturado;LogiExpress;Inventário Cíclico;Curitiba-081
21905;EPI0015;04/05/2023;06/05/2023;4;Faturado;VelozLog;Devolução por Troca;BH-095
21906;EPI0296;04/06/2024;05/06/2024;74;Faturado;VelozLog;Devolução por Desistência;BH-035
21907;EPI0489;25/02/2024;26/02/2024;19;Cancelado;VelozLog;Entrada em Quarentena;Curitiba-026
21908;EPI0097;13/07/2025;16/07/2025;50;Faturado;VelozLog;Produto Próximo ao Vencimento;Brasília-074
21909;EPI0044;26/03/2023;27/03/2023;10;Faturado;VelozLog;Produto Vencido;Rio-055
21910;EPI0048;11/05/2024;13/05/2024;86;Aguardando;VelozLog;Inventário Cíclico;BH-051
21911;EPI0321;12/06/2024;12/06/2024;39;Aguardando;VelozLog;Produto Substituído;BH-053
21912;EPI0381;13/02/2024;16/02/2024;72;Faturado;CargasRápidas;Inventário com Divergência;BH-065
21913;EPI0055;17/05/2025;19/05/2025;26;Faturado;CargasRápidas;Embalagem com Lacre;BH-009
21914;EPI0163;14/06/2025;14/06/2025;29;Faturado;VelozLog;Pedido Cancelado;BH-074
21915;EPI0200;24/03/2024;26/03/2024;40;Faturado;LogiExpress;Produto Vencido;Brasília-081
21916;EPI0320;27/03/2023;29/03/2023;19;Faturado;TransBrasil;Recebimento Normal;BH-082
21917;EPI0180;19/03/2023;20/03/2023;10;Faturado;LogiExpress;Endereçamento Automático;Rio-036
21918;EPI0271;05/12/2023;08/12/2023;2;Faturado;LogiExpress;Produto Vencido;Curitiba-098
21919;EPI0262;10/03/2025;12/03/2025;19;Aguardando;CargasRápidas;Pedido Parcial;Rio-023
21920;EPI0121;03/07/2025;05/07/2025;10;Faturado;CargasRápidas;Recebimento Parcial;São Paulo-034
21921;EPI0209;04/11/2024;04/11/2024;9;Faturado;CargasRápidas;Pedido Urgente;Curitiba-024
21922;EPI0380;04/04/2023;05/04/2023;51;Faturado;CargasRápidas;Inventário Cíclico;BH-027
21923;EPI0030;14/12/2024;16/12/2024;25;Faturado;CargasRápidas;Recebimento Normal;São Paulo-067
21924;EPI0380;27/08/2023;30/08/2023;23;Faturado;TransBrasil;Inventário Cíclico;São Paulo-062
21925;EPI0145;09/06/2024;12/06/2024;16;Aguardando;LogiExpress;Devolução por Troca;Brasília-098
21926;EPI0261;13/07/2023;16/07/2023;46;Faturado;TransBrasil;Pedido Cancelado;Rio-030
21927;EPI0303;09/06/2024;09/06/2024;6;Faturado;LogiExpress;Separação Manual;Rio-061
21928;EPI0208;15/05/2025;15/05/2025;39;Aguardando;CargasRápidas;Produto Próximo ao Vencimento;Brasília-064
21929;EPI0027;27/04/2023;27/04/2023;22;Faturado;LogiExpress;Endereçamento Automático;Rio-031
21930;EPI0449;13/12/2023;15/12/2023;27;Faturado;LogiExpress;Devolução por Troca;São Paulo-006
21931;EPI0295;26/08/2024;27/08/2024;7;Faturado;CargasRápidas;Devolução por Avaria;BH-075
21932;EPI0281;21/05/2025;24/05/2025;8;Aguardando;TransBrasil;Devolução por Avaria;BH-035
21933;EPI0296;17/02/2025;19/02/2025;55;Faturado;VelozLog;Pedido Cancelado;São Paulo-093
21934;EPI0189;15/03/2024;15/03/2024;39;Faturado;LogiExpress;Endereçamento Manual;Brasília-078
21935;EPI0088;28/04/2023;29/04/2023;76;Faturado;VelozLog;Devolução por Desistência;Rio-094
21936;EPI0178;11/08/2024;14/08/2024;34;Faturado;CargasRápidas;Devolução por Avaria;São Paulo-027
21937;EPI0154;26/06/2024;29/06/2024;4;Faturado;VelozLog;Recebimento Normal;BH-036
21938;EPI0383;23/02/2025;26/02/2025;36;Faturado;VelozLog;Pedido Parcial;Brasília-012
21939;EPI0294;04/06/2025;06/06/2025;19;Faturado;TransBrasil;Endereçamento Automático;Rio-070
21940;EPI0490;30/01/2025;30/01/2025;65;Aguardando;CargasRápidas;Inventário com Divergência;São Paulo-018
21941;EPI0008;18/12/2024;18/12/2024;36;Faturado;CargasRápidas;Devolução por Desistência;Rio-018
21942;EPI0307;05/11/2024;05/11/2024;28;Faturado;LogiExpress;Divergência de Quantidade;Curitiba-022
21943;EPI0158;08/04/2025;10/04/2025;57;Faturado;CargasRápidas;Inventário Cíclico;Rio-048
21944;EPI0245;11/02/2025;13/02/2025;12;Faturado;LogiExpress;Entrada em Quarentena;São Paulo-058
21945;EPI0216;08/04/2023;10/04/2023;14;Aguardando;LogiExpress;Pedido Urgente;Rio-016
21946;EPI0316;24/05/2024;26/05/2024;19;Faturado;TransBrasil;Divergência de Validade;Curitiba-089
21947;EPI0496;05/09/2023;08/09/2023;8;Faturado;TransBrasil;Devolução por Troca;BH-077
21948;EPI0440;31/01/2024;01/02/2024;20;Faturado;LogiExpress;Recebimento com Avaria;BH-096
21949;EPI0090;02/05/2025;03/05/2025;20;Parcial;LogiExpress;Entrada em Quarentena;Brasília-016
21950;EPI0483;26/02/2023;01/03/2023;40;Faturado;VelozLog;Produto Substituído;Rio-009
21951;EPI0260;15/12/2024;17/12/2024;42;Faturado;LogiExpress;Separação Manual;BH-056
21952;EPI0403;22/11/2023;24/11/2023;24;Faturado;LogiExpress;Embalagem com Etiqueta de Transporte;Brasília-054
21953;EPI0316;18/09/2023;21/09/2023;46;Faturado;LogiExpress;Endereçamento Automático;Brasília-082
21954;EPI0390;14/01/2023;17/01/2023;11;Aguardando;LogiExpress;Produto Substituído;Brasília-043
21955;EPI0142;09/12/2024;10/12/2024;48;Faturado;LogiExpress;Produto Próximo ao Vencimento;BH-041
21956;EPI0295;08/02/2024;08/02/2024;55;Aguardando;LogiExpress;Produto Vencido;Rio-095
21957;EPI0145;27/04/2024;29/04/2024;35;Faturado;VelozLog;Recebimento Normal;Brasília-098
21958;EPI0012;01/02/2024;03/02/2024;33;Aguardando;LogiExpress;Inventário com Divergência;Rio-063
21959;EPI0114;27/09/2024;28/09/2024;35;Faturado;LogiExpress;Devolução por Desistência;São Paulo-048
21960;EPI0220;08/06/2024;09/06/2024;10;Faturado;TransBrasil;Separação Manual;Curitiba-015
21961;EPI0248;04/09/2024;06/09/2024;17;Faturado;VelozLog;Entrada em Quarentena;Rio-048
21962;EPI0208;21/12/2023;21/12/2023;14;Faturado;LogiExpress;Pedido Parcial;São Paulo-069
21963;EPI0438;02/07/2023;03/07/2023;12;Faturado;VelozLog;Devolução por Desistência;São Paulo-001
21964;EPI0039;03/06/2025;05/06/2025;19;Faturado;VelozLog;Recebimento Parcial;São Paulo-096
21965;EPI0201;24/02/2024;26/02/2024;23;Faturado;CargasRápidas;Separação Manual;Brasília-046
21966;EPI0010;21/08/2023;21/08/2023;17;Faturado;CargasRápidas;Separação Manual;BH-056
21967;EPI0367;03/12/2024;03/12/2024;29;Faturado;CargasRápidas;Recebimento com Avaria;Rio-020
21968;EPI0053;07/11/2023;10/11/2023;85;Faturado;VelozLog;Devolução por Desistência;São Paulo-005
21969;EPI0049;09/03/2025;09/03/2025;31;Faturado;VelozLog;Produto Vencido;Curitiba-069
21970;EPI0369;06/11/2023;09/11/2023;34;Faturado;TransBrasil;Produto Vencido;Brasília-069
21971;EPI0292;18/03/2024;18/03/2024;16;Faturado;CargasRápidas;Pedido Cancelado;BH-074
21972;EPI0175;07/06/2023;10/06/2023;32;Faturado;CargasRápidas;Pedido Parcial;São Paulo-010
21973;EPI0396;07/12/2023;07/12/2023;29;Faturado;TransBrasil;Etiqueta Faltando;Rio-096
21974;EPI0221;27/07/2023;30/07/2023;34;Faturado;TransBrasil;Recebimento Normal;Brasília-053
21975;EPI0146;10/05/2025;11/05/2025;27;Aguardando;VelozLog;Produto Próximo ao Vencimento;BH-008
21976;EPI0274;08/03/2023;10/03/2023;51;Faturado;CargasRápidas;Embalagem com Lacre;Curitiba-022
21977;EPI0439;07/09/2024;10/09/2024;41;Faturado;LogiExpress;Embalagem com Lacre;Brasília-040
21978;EPI0131;07/05/2024;09/05/2024;22;Faturado;TransBrasil;Falta de Estoque;BH-038
21979;EPI0248;22/09/2023;24/09/2023;38;Faturado;VelozLog;Inventário com Divergência;Curitiba-029
21980;EPI0065;15/05/2024;18/05/2024;56;Aguardando;VelozLog;Recebimento com Avaria;Rio-098
21981;EPI0332;23/01/2024;24/01/2024;18;Faturado;VelozLog;Produto Próximo ao Vencimento;Curitiba-001
21982;EPI0001;12/05/2025;13/05/2025;21;Faturado;VelozLog;Recebimento Normal;BH-060
21983;EPI0445;07/07/2025;10/07/2025;51;Faturado;CargasRápidas;Produto Vencido;Brasília-009
21984;EPI0145;06/02/2025;08/02/2025;23;Faturado;TransBrasil;Produto Substituído;São Paulo-092
21985;EPI0197;28/01/2023;28/01/2023;15;Aguardando;CargasRápidas;Separação Manual;Curitiba-045
21986;EPI0298;03/05/2023;04/05/2023;47;Faturado;VelozLog;Produto Próximo ao Vencimento;BH-028
21987;EPI0059;24/02/2024;26/02/2024;50;Faturado;CargasRápidas;Pedido Cancelado;São Paulo-061
21988;EPI0412;18/03/2025;19/03/2025;23;Faturado;TransBrasil;Divergência de Validade;Rio-064
21989;EPI0464;02/04/2023;04/04/2023;29;Faturado;TransBrasil;Produto Próximo ao Vencimento;São Paulo-055
21990;EPI0321;04/06/2023;05/06/2023;22;Faturado;CargasRápidas;Embalagem com Etiqueta de Transporte;Rio-002
21991;EPI0282;13/11/2023;16/11/2023;26;Faturado;VelozLog;Falta de Estoque;Brasília-077
21992;EPI0397;02/04/2025;05/04/2025;49;Faturado;CargasRápidas;Divergência de Quantidade;BH-005
21993;EPI0158;14/04/2025;17/04/2025;88;Faturado;LogiExpress;Endereçamento Automático;São Paulo-003
21994;EPI0285;23/06/2025;23/06/2025;17;Aguardando;TransBrasil;Etiqueta Faltando;Curitiba-004
21995;EPI0208;11/02/2023;14/02/2023;18;Faturado;VelozLog;Recebimento Normal;Curitiba-064
21996;EPI0376;31/07/2023;03/08/2023;48;Faturado;VelozLog;Separação com Erro de SKU;Brasília-077
21997;EPI0233;06/07/2023;07/07/2023;42;Parcial;CargasRápidas;Divergência de Quantidade;BH-031
21998;EPI0054;14/12/2023;16/12/2023;67;Faturado;VelozLog;Etiqueta Faltando;BH-081
21999;EPI0276;21/03/2023;24/03/2023;17;Faturado;VelozLog;Separação Manual;Curitiba-075
22000;EPI0255;14/07/2025;17/07/2025;49;Faturado;TransBrasil;Divergência de Quantidade;Rio-019
22001;EPI0334;28/03/2025;30/03/2025;28;Faturado;LogiExpress;Separação com Erro de SKU;Brasília-051
22002;EPI0265;31/07/2023;01/08/2023;37;Faturado;TransBrasil;Pedido Cancelado;Curitiba-061
22003;EPI0045;28/02/2024;01/03/2024;71;Faturado;LogiExpress;Devolução por Troca;São Paulo-062
22004;EPI0446;10/12/2024;10/12/2024;67;Faturado;TransBrasil;Etiqueta Faltando;Brasília-012
22005;EPI0443;05/10/2023;07/10/2023;32;Faturado;LogiExpress;Pedido Cancelado;Brasília-015
22006;EPI0042;07/03/2023;07/03/2023;69;Faturado;CargasRápidas;Endereçamento Manual;BH-049
22007;EPI0026;22/10/2023;24/10/2023;40;Faturado;CargasRápidas;Endereçamento Manual;Curitiba-009
22008;EPI0401;27/06/2023;30/06/2023;25;Aguardando;LogiExpress;Recebimento Parcial;Curitiba-070
22009;EPI0276;20/05/2025;21/05/2025;31;Faturado;VelozLog;Pedido Urgente;BH-077
22010;EPI0381;07/05/2023;09/05/2023;15;Faturado;TransBrasil;Pedido Urgente;São Paulo-004
22011;EPI0306;24/07/2024;26/07/2024;26;Faturado;TransBrasil;Inventário Cíclico;BH-024
22012;EPI0060;24/03/2023;25/03/2023;20;Aguardando;TransBrasil;Produto Vencido;Curitiba-014
22013;EPI0241;04/03/2025;06/03/2025;32;Faturado;LogiExpress;Endereçamento Manual;Brasília-042
22014;EPI0177;15/11/2024;15/11/2024;47;Aguardando;VelozLog;Embalagem com Etiqueta de Transporte;São Paulo-052
22015;EPI0216;30/11/2024;02/12/2024;21;Faturado;TransBrasil;Inventário Cíclico;BH-002
22016;EPI0457;05/10/2023;05/10/2023;24;Faturado;TransBrasil;Separação com Erro de SKU;Brasília-070
22017;EPI0101;26/10/2024;27/10/2024;40;Faturado;LogiExpress;Endereçamento Automático;BH-068
22018;EPI0306;03/11/2024;06/11/2024;16;Faturado;CargasRápidas;Produto Próximo ao Vencimento;Brasília-086
22019;EPI0454;16/07/2024;18/07/2024;36;Faturado;TransBrasil;Pedido Cancelado;Rio-040
22020;EPI0422;29/04/2025;30/04/2025;53;Faturado;TransBrasil;Pedido Parcial;Curitiba-034
22021;EPI0185;19/01/2025;20/01/2025;89;Faturado;LogiExpress;Separação com Erro de SKU;Curitiba-077
22022;EPI0277;25/07/2023;28/07/2023;40;Faturado;TransBrasil;Produto Substituído;São Paulo-040
22023;EPI0415;20/03/2025;21/03/2025;19;Faturado;TransBrasil;Recebimento Normal;BH-051
22024;EPI0413;29/11/2024;01/12/2024;25;Cancelado;VelozLog;Recebimento Normal;BH-014
22025;EPI0147;06/02/2024;09/02/2024;31;Aguardando;TransBrasil;Etiqueta Faltando;Curitiba-033
22026;EPI0259;03/07/2025;06/07/2025;53;Faturado;TransBrasil;Produto Próximo ao Vencimento;Rio-022
22027;EPI0339;03/01/2023;04/01/2023;59;Faturado;VelozLog;Recebimento Normal;Rio-027
22028;EPI0031;03/09/2023;05/09/2023;33;Faturado;LogiExpress;Devolução por Avaria;Curitiba-069
22029;EPI0052;18/11/2023;18/11/2023;31;Cancelado;VelozLog;Recebimento Normal;Curitiba-001
22030;EPI0417;10/12/2024;13/12/2024;64;Faturado;LogiExpress;Etiqueta Faltando;Curitiba-087
22031;EPI0496;04/01/2023;07/01/2023;28;Faturado;CargasRápidas;Recebimento Parcial;São Paulo-059
22032;EPI0172;16/09/2023;16/09/2023;13;Faturado;LogiExpress;Devolução por Avaria;Rio-036
22033;EPI0055;24/03/2025;27/03/2025;42;Faturado;TransBrasil;Pedido Cancelado;BH-038
22034;EPI0401;08/06/2025;10/06/2025;46;Faturado;LogiExpress;Produto Vencido;Brasília-019
22035;EPI0366;19/03/2023;19/03/2023;36;Aguardando;VelozLog;Endereçamento Automático;São Paulo-056
22036;EPI0178;13/07/2023;14/07/2023;36;Faturado;CargasRápidas;Pedido Parcial;Curitiba-088
22037;EPI0476;03/02/2025;06/02/2025;58;Aguardando;LogiExpress;Produto Vencido;Rio-025
22038;EPI0264;10/03/2024;12/03/2024;28;Faturado;TransBrasil;Recebimento Parcial;Brasília-047
22039;EPI0175;03/05/2023;05/05/2023;47;Faturado;LogiExpress;Separação Manual;São Paulo-012
22040;EPI0042;30/09/2024;02/10/2024;19;Faturado;CargasRápidas;Divergência de Quantidade;Brasília-013
22041;EPI0388;18/04/2023;20/04/2023;8;Faturado;TransBrasil;Embalagem com Lacre;São Paulo-007
22042;EPI0261;07/09/2024;09/09/2024;16;Faturado;TransBrasil;Inventário Cíclico;BH-072
22043;EPI0248;28/03/2024;29/03/2024;42;Faturado;LogiExpress;Divergência de Validade;Curitiba-037
22044;EPI0487;21/10/2024;24/10/2024;28;Faturado;VelozLog;Devolução por Avaria;BH-051
22045;EPI0203;24/12/2023;24/12/2023;28;Cancelado;VelozLog;Recebimento com Avaria;São Paulo-048
22046;EPI0051;03/04/2023;05/04/2023;9;Faturado;VelozLog;Etiqueta Faltando;Brasília-034
22047;EPI0122;10/02/2023;12/02/2023;20;Faturado;VelozLog;Entrada em Quarentena;São Paulo-082
22048;EPI0119;04/06/2023;04/06/2023;29;Faturado;LogiExpress;Devolução por Avaria;Rio-015
22049;EPI0092;26/11/2024;28/11/2024;6;Faturado;CargasRápidas;Produto Substituído;Rio-089
22050;EPI0291;06/11/2024;06/11/2024;26;Faturado;CargasRápidas;Pedido Parcial;Rio-050
22051;EPI0168;21/11/2023;24/11/2023;39;Parcial;VelozLog;Recebimento Parcial;BH-029
22052;EPI0184;22/08/2023;22/08/2023;66;Aguardando;TransBrasil;Entrada em Quarentena;Curitiba-092
